Section/PoemTitle,IDNO,Is Individual,::,IDNO,GUTTENBURGTITLENOAPOS,NameCHECK,IS INDIVIDUAL?
 PRIÈRE,FDM----,FALSE,::,FDM-054-061-000-063,A UNE DAME CREOLE,A UNE DAME CREOLE,TRUE
**RÉVOLTE **,FDM----,FALSE,::,FDM-000-000-020-092,A UNE MALABARAISE,A UNE MALABARAISE,FALSE
A CELLE QUI EST TROP GAIE,FDM-039-000-005-000,TRUE,::,FDM-065-088-000-112,A UNE MENDIANTE ROUSSE,A UNE MENDIANTE ROUSSE,FALSE
A M. Eugene Fromentin,FDM-000-000-022-000,FALSE,::,FDM-000-093-000-117,A UNE PASSANTE,A UNE PASSANTE,FALSE
A Theodore de Banville,FDM-000-000-000-016,FALSE,::,FDM-000-081-000-083,Alchimie de la douleur,ALCHIMIE DE LA DOULEUR,FALSE
A UNE DAME CREOLE,FDM-054-061-000-063,TRUE,::,FDM-013-013-000-013,BOHEMIENS EN VOYAGE,BOHEMIENS EN VOYAGE,FALSE
A une Madone,FDM-000-057-000-058,FALSE,::,FDM-051-055-000-056,Causerie,Causerie,FALSE
A UNE MALABARAISE,FDM-000-000-020-092,FALSE,::,FDM-000-058-000-059,CHANSON DAPRES-MIDI,CHANSON DAPRES-MIDI,TRUE
A UNE MENDIANTE ROUSSE,FDM-065-088-000-112,FALSE,::,FDM-000-056-000-057,CHANT DAUTOMNE,CHANT DAUTOMNE,FALSE
A UNE PASSANTE,FDM-000-093-000-117,FALSE,::,FDM-016-016-000-017,Châtiment de lOrgueil,Châtiment de lOrgueil,FALSE
ABEL ET CAÏN,FDM-091-119-000-144,TRUE,::,FDM-041-045-000-046,CONFESSION,CONFESSION,FALSE
ALCHIMIE DE LA DOULEUR,FDM-000-081-000-083,FALSE,::,FDM-000-097-000-121,DANSE MACABRE,DANSE MACABRE,FALSE
ALLEGORIE,FDM-085-114-000-139,TRUE,::,FDM-028-030-000-031,DE PROFUNDIS CLAMAVI,DE PROFUNDIS CLAMAVI,TRUE
Avec ses vetements ondoyants et nacres,FDM-025-027-000-028,FALSE,::,FDM-015-015-000-015,DON JUAN AUX ENFERS,DON JUAN AUX ENFERS,FALSE
BENEDICTION,FDM-001-001-000-001,TRUE,::,FDM-003-003-000-003,ELEVATION,ELEVATION,FALSE
Bien loin d’ici,FDM-000-000-000-099,FALSE,::,FDM-000-000-000-094,HYMNE,HYMNE,FALSE
BOHEMIENS EN VOYAGE,FDM-013-013-000-013,FALSE,::,FDM-017-017-000-018,LA BEAUTE,LA BEAUTE,FALSE
BRUMES ET PLUIES,FDM-063-101-000-125,FALSE,::,FDM-000-000-000-111,LA LUNE OFFENSEE,LA LUNE OFFENSEE,TRUE
Causerie,FDM-051-055-000-056,FALSE,::,FDM-008-008-000-008,La Muse vénale,La Muse vénale,FALSE
CHANSON DAPRES-MIDI,FDM-000-058-000-059,TRUE,::,FDM-076-069-000-071,LA MUSIQUE,LA MUSIQUE,TRUE
CHANT DAUTOMNE,FDM-000-056-000-057,FALSE,::,FDM-077-068-000-070,LA PIPE,LA PIPE,TRUE
Châtiment de lOrgueil,FDM-016-016-000-017,FALSE,::,FDM-000-000-000-086,LA PRIERE DUN PAÏEN,LA PRIERE DUN PAÏEN,TRUE
Ciel brouille,FDM-046-050-000-051,FALSE,::,FDM-012-012-000-012,LA VIE ANTERIEURE,LA VIE ANTERIEURE,FALSE
"CII Je nai pas oublié, voisine de la ville (untitled)",FDM-070-099-000-123,FALSE,::,FDM-000-000-017-093,LA VOIX,LA VOIX,FALSE
CIII La servante au grand coeur dont vous étiez jalousie (untitled),FDM-069-100-000-124,FALSE,::,FDM-000-000-000-091,LAVERTISSEUR,LAVERTISSEUR,FALSE
